X,Y,Z
-3.09,0.19,9.39
-3.18,0.19,9.43
-3.14,0.15,9.45
-3.16,0.15,9.48
-3.15,0.19,9.44
-3.1,0.2,9.45
-3.13,0.18,9.44
-3.1,0.17,9.45
-3.14,0.15,9.36
-3.17,0.13,9.41
-3.11,0.13,9.45
-3.15,0.21,9.45
-3.14,0.23,9.49
-3.12,0.21,9.46
-3.07,0.19,9.32
-3.09,0.16,9.3
-3.12,0.14,9.35
-3.13,0.18,9.44
-3.11,0.14,9.46
-3.06,0.21,9.41
-3.15,0.19,9.37
-3.12,0.15,9.49
-3.12,0.16,9.45
-3.13,0.2,9.43
-3.09,0.23,9.48
-3.07,0.17,9.37
-3.05,0.22,9.16
-3.18,0.2,9.59
-3.2,0.23,9.45
-3.15,0.23,9.43
-3.08,0.16,9.5
-3.09,0.22,9.44
-3.09,0.18,9.42
-3.13,0.19,9.37
-3.1,0.23,9.42
-3.14,0.24,9.41
-3.05,0.21,9.47
-2.95,0.27,9.51
-2.99,0.27,9.41
-3.07,0.26,9.46
-3.15,0.26,9.4
-3.13,0.26,9.45
-3.12,0.26,9.44
-3.09,0.33,9.45
-3.12,0.3,9.43
-3.13,0.3,9.45
-3.14,0.3,9.43
-3.1,0.3,9.47
-3.07,0.32,9.36
-3.1,0.32,9.42
-3.03,0.3,9.43
-3.07,0.21,9.56
-3.06,0.23,9.39
-3.04,0.21,9.34
-3.05,0.23,9.45
-3.14,0.2,9.45
-3.15,0.25,9.35
-3.14,0.2,9.37
-3.04,0.22,9.52
-3.02,0.24,9.49
-3.01,0.26,9.35
-3.03,0.22,9.3
-3.07,0.21,9.42
-3.2,0.23,9.43
-3.17,0.24,9.45
-3.15,0.24,9.36
-3.19,0.26,9.44
-3.12,0.27,9.54
-3.03,0.23,9.45
-3.08,0.21,9.44
-3.07,0.26,9.35
-3.09,0.24,9.37
-3.14,0.28,9.38
-3.12,0.26,9.18
-3.17,0.25,9.39
-3.11,0.24,9.51
-3.08,0.22,9.48
-3.05,0.27,9.32
-3.02,0.24,9.33
-3.14,0.23,9.4
-3.2,0.23,9.34
-3.24,0.22,9.3
-3.23,0.22,9.3
-3.11,0.22,9.44
-3.08,0.2,9.41
-3.12,0.2,9.35
-3.15,0.2,9.34
-3.16,0.19,9.32
-3.18,0.28,9.27
-3.22,0.2,9.33
-3.22,0.26,9.4
-3.25,0.22,9.54
-3.23,0.24,9.34
-3.32,0.21,9.43
-3.23,0.25,9.46
-3.23,0.31,9.27
-3.27,0.19,9.24
-3.2,0.15,9.47
-3.21,0.16,9.47
-3.14,0.17,9.42
-3.12,0.19,9.5
-3.16,0.26,9.51
-3.18,0.25,9.34
-3.19,0.28,9.35
-3.16,0.28,9.34
-3.18,0.18,9.37
-3.25,0.15,9.36
-3.29,0.17,9.41
-3.3,0.11,9.43
-3.25,0.13,9.42
-3.28,0.15,9.45
-3.26,0.18,9.41
-3.26,0.2,9.34
-3.29,0.18,9.33
-3.25,0.17,9.39
-3.26,0.12,9.45
-3.23,0.08,9.44
-3.23,0.1,9.33
-3.2,0.16,9.33
-3.29,0.16,9.3
-3.24,0.16,9.24
-3.29,0.17,9.35
-3.29,0.1,9.44
-3.27,0.08,9.48
-3.3,0.15,9.45
-3.27,0.09,9.43
-3.26,0.14,9.46
-3.21,0.14,9.45
-3.33,0.15,9.36
-3.21,0.13,9.33
-3.31,0.11,9.36
-3.27,0.07,9.39
-3.34,0.11,9.34
-3.3,0.13,9.35
-3.3,0.15,9.43
-3.28,0.18,9.42
-3.34,0.18,9.37
-3.31,0.2,9.38
-3.35,0.14,9.35
-3.37,0.17,9.34
-3.37,0.11,9.39
-3.31,0.13,9.34
-3.34,0.12,9.36
-3.3,0.11,9.33
-3.28,0.13,9.38
-3.23,0.15,9.37
-3.3,0.12,9.34
-3.36,0.1,9.4
-3.36,0.09,9.3
-3.34,0.13,9.32
-3.3,0.13,9.22
-3.28,0.11,9.36
-3.31,0.07,9.4
-3.3,0.11,9.42
-3.3,0.07,9.39
-3.33,0.07,9.33
-3.32,0.1,9.36
-3.32,0.12,9.37
-3.33,0.16,9.34
-3.4,0.11,9.41
-3.41,0.14,9.33
-3.33,0.09,9.38
-3.3,0.09,9.39
-3.31,0.14,9.39
-3.27,0.15,9.4
-3.28,0.15,9.2
-3.31,0.11,9.42
-3.33,0.1,9.56
-3.34,0.21,9.25
-3.31,0.13,9.22
-3.26,0.08,9.3
-3.26,0.11,9.39
-3.32,0.07,9.37
-3.32,0.11,9.38
-3.28,0.1,9.41
-3.26,0.17,9.42
-3.19,0.14,9.42
-3.27,0.14,9.31
-3.25,0.11,9.24
-3.25,0.12,9.37
-3.29,0.11,9.43
-3.35,0.14,9.37
-3.33,0.13,9.36
-3.32,0.15,9.33
-3.31,0.11,9.38
-3.27,0.13,9.36
-3.36,0.15,9.32
-3.29,0.14,9.43
-3.25,0.13,9.42
-3.21,0.13,9.39
-3.26,0.12,9.38
-3.16,0.15,9.41
-3.26,0.16,9.36
-3.28,0.1,9.3
-3.33,0.14,9.34
-3.34,0.12,9.48
-3.3,0.11,9.38
-3.29,0.12,9.37
-3.29,0.16,9.4
-3.23,0.14,9.4
-3.2,0.13,9.39
-3.13,0.09,9.45
-3.28,0.11,9.41
-3.33,0.14,9.31
-3.38,0.15,9.4
-3.28,0.15,9.37
-3.29,0.12,9.37
-3.29,0.11,9.43
-3.26,0.18,9.35
-3.27,0.17,9.33
-3.27,0.16,9.32
-3.27,0.15,9.37
-3.3,0.18,9.36
-3.3,0.16,9.38
-3.3,0.13,9.4
-3.27,0.12,9.36
-3.28,0.14,9.43
-3.2,0.19,9.39
-3.26,0.17,9.39
-3.29,0.15,9.39
-3.32,0.1,9.4
-3.3,0.14,9.41
-3.28,0.13,9.38
-3.29,0.15,9.4
-3.28,0.14,9.45
-3.29,0.16,9.36
-3.27,0.15,9.4
-3.27,0.12,9.35
-3.31,0.1,9.4
-3.24,0.14,9.32
-3.28,0.13,9.38
-3.26,0.13,9.39
-3.28,0.15,9.39
-3.27,0.12,9.42
-3.29,0.14,9.4
-3.26,0.17,9.41
-3.23,0.13,9.44
-3.26,0.11,9.39
-3.25,0.17,9.3
-3.22,0.13,9.36
-3.28,0.18,9.37
-3.27,0.15,9.39
-3.27,0.11,9.44
-3.3,0.13,9.44
-3.23,0.15,9.41
-3.22,0.19,9.4
-3.17,0.19,9.38
-3.22,0.18,9.41
-3.26,0.12,9.36
-3.3,0.15,9.36
-3.36,0.12,9.31
-3.3,0.12,9.31
-3.25,0.15,9.4
-3.24,0.14,9.46
-3.2,0.17,9.34
-3.31,0.19,9.39
-3.3,0.12,9.45
-3.23,0.1,9.49
-3.22,0.15,9.2
-3.26,0.14,9.28
-3.3,0.16,9.47
-3.26,0.32,9.35
-3.31,0.17,9.3
-3.28,0.11,9.44
-3.29,0.14,9.41
-3.23,0.12,9.35
-3.24,0.17,9.38
-3.27,0.17,9.42
-3.15,0.17,9.49
-3.18,0.13,9.37
-3.24,0.12,9.31
-3.28,0.15,9.36
-3.26,0.19,9.41
-3.3,0.2,9.46
-3.26,0.17,9.4
-3.25,0.2,9.34
-3.26,0.18,9.4
-3.27,0.19,9.5
-3.29,0.19,9.36
-3.26,0.15,9.38
-3.25,0.13,9.52
-3.23,0.21,9.45
-3.16,0.18,9.39
-3.22,0.21,9.34
-3.27,0.25,9.31
-3.27,0.22,9.28
-3.24,0.2,9.27
-3.31,0.2,9.41
-3.31,0.19,9.49
-3.28,0.2,9.37
-3.23,0.2,9.32
-3.24,0.19,9.35
-3.19,0.18,9.4
-3.28,0.2,9.4
-3.27,0.19,9.45
-3.3,0.24,9.38
-3.29,0.25,9.31
-3.2,0.14,9.37
-3.3,0.21,9.32
-3.36,0.22,9.34
-3.37,0.27,9.38
-3.26,0.24,9.39
-3.26,0.23,9.33
-3.3,0.19,9.34
-3.31,0.21,9.45
-3.26,0.23,9.39
-3.25,0.21,9.32
-3.3,0.2,9.46
-3.28,0.22,9.33
-3.3,0.28,9.47
-3.28,0.25,9.41
-3.25,0.22,9.37
-3.29,0.2,9.33
-3.25,0.23,9.39
-3.25,0.19,9.33
-3.31,0.21,9.39
-3.31,0.22,9.33
-3.35,0.23,9.41
-3.29,0.24,9.45
-3.29,0.26,9.41
-3.31,0.24,9.36
-3.31,0.26,9.27
-3.35,0.25,9.41
-3.34,0.22,9.43
-3.25,0.23,9.35
-3.28,0.27,9.37
-3.27,0.29,9.36
-3.33,0.24,9.31
-3.32,0.27,9.36
-3.35,0.27,9.47
-3.27,0.27,9.5
-3.29,0.3,9.21
-3.34,0.26,9.33
-3.31,0.27,9.29
-3.27,0.23,9.31
-3.28,0.34,9.42
-3.3,0.38,9.27
-3.31,0.28,9.33
-3.33,0.18,9.3
-3.29,0.27,9.28
-3.3,0.29,9.37
-3.26,0.31,9.38
-3.26,0.34,9.35
-3.24,0.29,9.31
-3.25,0.25,9.34
-3.22,0.22,9.38
-3.23,0.25,9.3
-3.33,0.24,9.37
-3.36,0.27,9.3
-3.38,0.24,9.36
-3.33,0.23,9.36
-3.31,0.26,9.43
-3.24,0.27,9.33
-3.33,0.25,9.37
-3.35,0.26,9.35
-3.3,0.29,9.33
-3.3,0.26,9.32
-3.24,0.27,9.29
-3.27,0.26,9.27
-3.31,0.28,9.43
-3.33,0.26,9.4
-3.24,0.33,9.22
-3.29,0.31,9.45
-3.23,0.31,9.45
-3.28,0.34,9.16
-3.38,0.33,9.21
-3.31,0.34,9.31
-3.29,0.23,9.33
-3.3,0.27,9.34
-3.31,0.23,9.3
-3.32,0.25,9.34
-3.3,0.26,9.28
-3.38,0.29,9.23
-3.37,0.27,9.16
-3.4,0.28,9.21
-3.46,0.28,9.29
-3.4,0.29,9.17
-3.46,0.26,9.18
-3.4,0.29,9.33
-3.44,0.34,9.33
-3.4,0.33,9.45
-3.36,0.35,9.48
-3.4,0.34,9.4
-3.36,0.35,9.17
-3.31,0.34,9.21
-3.29,0.26,9.28
-3.3,0.26,9.33
-3.29,0.26,9.38
-3.3,0.27,9.45
-3.4,0.29,9.47
-3.41,0.3,9.39
-3.51,0.28,9.27
-3.45,0.22,9.33
-3.41,0.23,9.34
-3.4,0.24,9.28
-3.4,0.26,9.28
-3.35,0.26,9.26
-3.43,0.29,9.28
-3.45,0.26,9.31
-3.47,0.27,9.35
-3.43,0.28,9.28
-3.54,0.24,9.35
-3.51,0.33,9.37
-3.43,0.38,9.24
-3.39,0.34,9.14
-3.37,0.27,9.17
-3.4,0.2,9.26
-3.45,0.2,9.31
-3.46,0.24,9.35
-3.45,0.28,9.34
-3.39,0.31,9.39
-3.42,0.35,9.33
-3.38,0.28,9.27
-3.37,0.27,9.28
-3.48,0.25,9.23
-3.44,0.27,9.4
-3.55,0.28,9.29
-3.55,0.24,9.32
-3.52,0.27,9.27
-3.57,0.23,9.3
-3.53,0.23,9.33
-3.47,0.27,9.34
-3.52,0.3,9.38
-3.48,0.28,9.35
-3.43,0.27,9.32
-3.4,0.25,9.25
-3.48,0.24,9.37
-3.51,0.21,9.31
-3.51,0.19,9.24
-3.52,0.18,9.31
-3.53,0.19,9.41
-3.5,0.16,9.42
-3.52,0.22,9.31
-3.42,0.26,9.28
-3.44,0.24,9.32
-3.42,0.24,9.3
-3.43,0.23,9.28
-3.52,0.22,9.27
-3.47,0.19,9.25
-3.52,0.21,9.29
-3.53,0.21,9.28
-3.53,0.2,9.26
-3.57,0.21,9.26
-3.53,0.2,9.23
-3.51,0.27,9.23
-3.49,0.27,9.28
-3.53,0.29,9.21
-3.54,0.27,9.27
-3.54,0.22,9.32
-3.5,0.24,9.27
-3.49,0.21,9.25
-3.49,0.23,9.28
-3.49,0.19,9.28
-3.52,0.21,9.3
-3.47,0.27,9.28
-3.49,0.23,9.22
-3.49,0.26,9.23
-3.56,0.22,9.24
-3.59,0.22,9.2
-3.52,0.22,9.3
-3.54,0.23,9.34
-3.54,0.22,9.33
-3.53,0.2,9.28
-3.52,0.15,9.25
-3.55,0.21,9.29
-3.59,0.23,9.26
-3.47,0.25,9.25
-3.47,0.25,9.25
-3.51,0.21,9.25
-3.49,0.24,9.24
-3.53,0.25,9.28
-3.47,0.24,9.33
-3.52,0.2,9.35
-3.51,0.21,9.25
-3.51,0.22,9.27
-3.53,0.22,9.26
-3.53,0.26,9.31
-3.47,0.21,9.15
-3.59,0.25,9.32
-3.52,0.22,9.42
-3.5,0.34,9.23
-3.46,0.31,9.22
-3.4,0.28,9.23
-3.5,0.18,9.36
-3.49,0.11,9.35
-3.53,0.17,9.31
-3.48,0.24,9.32
-3.44,0.26,9.34
-3.44,0.25,9.37
-3.4,0.26,9.31
-3.37,0.25,9.24
-3.51,0.2,9.25
-3.53,0.22,9.23
-3.51,0.19,9.32
-3.53,0.19,9.24
-3.53,0.2,9.27
-3.5,0.26,9.34
-3.52,0.25,9.36
-3.51,0.29,9.32
-3.47,0.21,9.27
-3.48,0.21,9.32
-3.42,0.21,9.24
-3.43,0.21,9.31
-3.44,0.27,9.35
-3.43,0.29,9.19
-3.47,0.26,9.27
-3.5,0.24,9.31
-3.5,0.23,9.33
-3.48,0.23,9.29
-3.44,0.26,9.37
-3.46,0.24,9.36
-3.42,0.2,9.39
-3.36,0.22,9.36
-3.38,0.23,9.28
-3.4,0.21,9.3
-3.41,0.21,9.25
-3.48,0.21,9.31
-3.52,0.25,9.22
-3.48,0.18,9.28
-3.53,0.19,9.29
-3.5,0.27,9.38
-3.48,0.27,9.36
-3.48,0.24,9.41
-3.5,0.21,9.32
-3.46,0.17,9.3
-3.42,0.21,9.3
-3.43,0.23,9.29
-3.39,0.25,9.21
-3.4,0.25,9.28
-3.39,0.23,9.32
-3.42,0.21,9.34
-3.41,0.24,9.29
-3.43,0.25,9.31
-3.38,0.25,9.36
-3.42,0.32,9.32
-3.42,0.19,9.28
-3.47,0.2,9.29
-3.53,0.18,9.32
-3.48,0.23,9.3
-3.45,0.23,9.31
-3.42,0.26,9.3
-3.4,0.24,9.35
-3.39,0.19,9.29
-3.41,0.22,9.33
-3.38,0.27,9.35
-3.36,0.22,9.34
-3.35,0.19,9.36
-3.39,0.14,9.32
-3.38,0.23,9.22
-3.44,0.21,9.26
-3.45,0.16,9.29
-3.47,0.21,9.41
-3.39,0.19,9.32
-3.45,0.23,9.3
-3.46,0.23,9.39
-3.4,0.19,9.29
-3.39,0.24,9.29
-3.39,0.19,9.28
-3.4,0.26,9.45
-3.31,0.22,9.45
-3.31,0.25,9.2
-3.38,0.24,9.17
-3.47,0.18,9.42
-3.47,0.29,9.32
-3.41,0.25,9.26
-3.37,0.15,9.38
-3.37,0.15,9.39
-3.36,0.13,9.38
-3.32,0.24,9.32
-3.39,0.27,9.23
-3.36,0.3,9.39
-3.36,0.27,9.29
-3.31,0.2,9.4
-3.31,0.21,9.21
-3.35,0.23,9.22
-3.42,0.27,9.31
-3.43,0.22,9.28
-3.49,0.26,9.32
-3.46,0.25,9.34
-3.42,0.26,9.4
-3.37,0.35,9.35
-3.4,0.32,9.32
-3.37,0.27,9.29
-3.4,0.21,9.38
-3.41,0.25,9.35
-3.37,0.24,9.27
-3.34,0.27,9.33
-3.4,0.23,9.28
-3.36,0.26,9.26
-3.36,0.25,9.4
-3.35,0.24,9.36
-3.35,0.28,9.41
-3.3,0.3,9.34
-3.36,0.25,9.31
-3.31,0.27,9.33
-3.3,0.27,9.38
-3.21,0.27,9.3
-3.3,0.28,9.23
-3.4,0.3,9.23
-3.45,0.23,9.31
-3.44,0.27,9.25
-3.4,0.29,9.25
-3.42,0.32,9.29
-3.36,0.34,9.34
-3.48,0.3,9.33
-3.41,0.3,9.27
-3.44,0.3,9.32
-3.4,0.29,9.39
-3.35,0.27,9.42
-3.41,0.3,9.42
-3.35,0.33,9.37
-3.38,0.28,9.23
-3.4,0.28,9.25
-3.4,0.28,9.41
-3.38,0.27,9.32
-3.34,0.3,9.28
-3.38,0.23,9.32
-3.41,0.27,9.34
-3.37,0.27,9.28
-3.39,0.31,9.32
-3.42,0.31,9.35
-3.45,0.34,9.29
-3.43,0.31,9.29
-3.48,0.29,9.25
-3.47,0.3,9.31
-3.47,0.31,9.3
-3.47,0.3,9.29
-3.45,0.34,9.33
-3.46,0.28,9.37
-3.5,0.31,9.3
-3.45,0.32,9.34
-3.49,0.32,9.4
-3.39,0.33,9.12
-3.46,0.25,9.25
-3.47,0.34,9.35
-3.45,0.34,9.2
-3.43,0.26,9.23
-3.46,0.22,9.23
-3.44,0.32,9.37
-3.33,0.3,9.36
-3.41,0.31,9.25
-3.49,0.34,9.25
-3.43,0.33,9.43
-3.5,0.29,9.22
-3.44,0.32,9.21
-3.51,0.34,9.26
-3.5,0.29,9.3
-3.46,0.26,9.37
-3.46,0.23,9.36
-3.48,0.26,9.28
-3.46,0.28,9.23
-3.47,0.36,9.29
-3.46,0.34,9.29
-3.45,0.27,9.37
-3.48,0.27,9.38
-3.45,0.27,9.26
-3.42,0.28,9.17
-3.43,0.32,9.2
-3.51,0.4,9.23
-3.53,0.3,9.25
-3.53,0.24,9.26
-3.49,0.28,9.15
-3.52,0.27,9.31
-3.53,0.29,9.23
-3.52,0.34,9.15
-3.54,0.28,9.23
-3.48,0.31,9.29
-3.52,0.31,9.28
-3.57,0.34,9.36
-3.54,0.28,9.33
-3.59,0.28,9.29
-3.58,0.28,9.27
-3.59,0.27,9.12
-3.56,0.27,9.23
-3.54,0.29,9.22
-3.54,0.3,9.32
-3.51,0.29,9.33
-3.47,0.34,9.31
-3.48,0.29,9.27
-3.5,0.26,9.35
-3.55,0.22,9.36
-3.57,0.28,9.23
-3.53,0.26,9.32
-3.51,0.33,9.33
-3.6,0.33,9.27
-3.57,0.27,9.25
-3.59,0.27,9.23
-3.52,0.22,9.24
-3.63,0.3,9.22
-3.58,0.28,9.23
-3.57,0.27,9.27
-3.55,0.26,9.38
-3.56,0.26,9.3
-3.54,0.26,9.28
-3.57,0.26,9.21
-3.53,0.33,9.13
-3.53,0.24,9.24
-3.65,0.27,9.22
-3.61,0.23,9.26
-3.55,0.23,9.26
-3.53,0.32,9.23
-3.52,0.35,9.27
-3.52,0.31,9.16
-3.55,0.36,9.09
-3.63,0.27,9.27
-3.61,0.31,9.3
-3.58,0.32,9.2
-3.61,0.24,9.2
-3.53,0.28,9.24
-3.53,0.19,9.3
-3.56,0.25,9.27
-3.62,0.23,9.3
-3.6,0.2,9.31
-3.56,0.25,9.24
-3.58,0.26,9.29
-3.58,0.28,9.24
-3.58,0.29,9.2
-3.55,0.25,9.22
-3.54,0.24,9.19
-3.61,0.27,9.22
-3.6,0.27,9.27
-3.62,0.22,9.15
-3.62,0.21,9.18
-3.61,0.3,9.22
-3.7,0.29,9.26
-3.64,0.27,9.29
-3.6,0.3,9.36
-3.61,0.26,9.26
-3.57,0.3,9.28
-3.6,0.29,9.23
-3.6,0.27,9.14
-3.62,0.26,9.19
-3.63,0.28,9.23
-3.63,0.18,9.3
-3.62,0.21,9.33
-3.6,0.26,9.24
-3.6,0.27,9.26
-3.57,0.3,9.23
-3.6,0.27,9.27
-3.6,0.29,9.27
-3.59,0.27,9.23
-3.66,0.24,9.23
-3.67,0.24,9.17
-3.66,0.25,9.19
-3.65,0.23,9.2
-3.73,0.29,9.29
-3.68,0.27,9.22
-3.64,0.3,9.28
-3.6,0.29,9.19
-3.65,0.34,9.19
-3.64,0.29,9.2
-3.64,0.31,9.22
-3.61,0.31,9.24
-3.64,0.3,9.21
-3.61,0.28,9.22
-3.59,0.26,9.21
-3.57,0.3,9.2
-3.61,0.27,9.21
-3.68,0.25,9.23
-3.67,0.27,9.24
-3.61,0.31,9.25
-3.62,0.26,9.24
-3.65,0.29,9.22
-3.67,0.25,9.21
-3.67,0.22,9.21
-3.65,0.22,9.22
-3.58,0.33,9.28
-3.63,0.27,9.2
-3.62,0.27,9.27
-3.6,0.31,9.24
-3.63,0.32,9.23
-3.66,0.3,9.22
-3.62,0.24,9.24
-3.6,0.28,9.21
-3.59,0.25,9.31
-3.59,0.28,9.26
-3.64,0.33,9.26
-3.62,0.3,9.22
-3.64,0.31,9.18
-3.64,0.29,9.2
-3.68,0.23,9.26
-3.66,0.24,9.28
-3.61,0.26,9.26
-3.65,0.31,9.21
-3.58,0.32,9.16
-3.58,0.28,9.17
-3.71,0.26,9.22
-3.71,0.26,9.24
-3.65,0.28,9.3
-3.67,0.26,9.22
-3.58,0.3,9.2
-3.62,0.33,9.23
-3.55,0.22,9.16
-3.66,0.31,9.1
-3.73,0.24,9.27
-3.76,0.28,9.25
-3.69,0.4,9.08
-3.59,0.28,9.24
-3.57,0.22,9.33
-3.58,0.2,9.36
-3.62,0.22,9.19
-3.67,0.26,9.22
-3.69,0.31,9.35
-3.59,0.28,9.35
-3.53,0.33,9.26
-3.54,0.31,9.21
-3.54,0.29,9.14
-3.66,0.27,9.2
-3.65,0.28,9.22
-3.69,0.26,9.2
-3.71,0.27,9.23
-3.7,0.34,9.22
-3.74,0.27,9.2
-3.73,0.31,9.22
-3.67,0.33,9.2
-3.69,0.34,9.24
-3.61,0.28,9.26
-3.61,0.27,9.24
-3.65,0.27,9.24
-3.69,0.32,9.3
-3.66,0.27,9.19
-3.61,0.31,9.15
-3.69,0.33,9.26
-3.61,0.29,9.24
-3.63,0.29,9.23
-3.61,0.28,9.25
-3.62,0.27,9.19
-3.63,0.24,9.16
-3.57,0.3,9.27
-3.63,0.28,9.28
-3.67,0.33,9.22
-3.68,0.29,9.17
-3.62,0.26,9.3
-3.62,0.31,9.2
-3.58,0.33,9.19
-3.69,0.32,9.19
-3.67,0.27,9.22
-3.69,0.28,9.25
-3.72,0.33,9.28
-3.68,0.3,9.27
-3.67,0.32,9.24
-3.6,0.3,9.14
-3.6,0.32,9.15
-3.63,0.31,9.2
-3.6,0.33,9.24
-3.59,0.27,9.2
-3.7,0.29,9.23
-3.7,0.29,9.16
-3.66,0.24,9.14
-3.69,0.32,9.19
-3.7,0.34,9.24
-3.65,0.31,9.32
-3.69,0.35,9.3
-3.72,0.28,9.22
-3.71,0.27,9.22
-3.79,0.27,9.16
-3.77,0.28,9.2
-3.73,0.32,9.23
-3.7,0.31,9.27
-3.7,0.27,9.17
-3.68,0.28,9.21
-3.72,0.33,9.14
-3.71,0.3,9.17
-3.72,0.28,9.24
-3.68,0.29,9.33
-3.61,0.28,9.21
-3.66,0.32,9.09
-3.71,0.29,9.18
-3.79,0.29,9.27
-3.72,0.32,9.19
-3.76,0.29,9.27
-3.73,0.28,9.22
-3.75,0.3,9.24
-3.76,0.35,9.27
-3.67,0.4,9.23
-3.75,0.29,9.27
-3.72,0.29,9.17
-3.74,0.34,9.0
-3.75,0.32,9.23
-3.75,0.37,9.22
-3.73,0.44,9.12
-3.73,0.31,9.12
-3.69,0.23,9.22
-3.69,0.34,9.14
-3.66,0.29,9.3
-3.64,0.31,9.19
-3.66,0.33,9.22
-3.65,0.31,9.22
-3.72,0.32,9.27
-3.67,0.31,9.21
-3.73,0.36,9.19
-3.7,0.3,9.09
-3.77,0.35,9.24
-3.76,0.34,9.19
-3.7,0.34,9.15
-3.76,0.38,9.13
-3.75,0.39,9.33
-3.73,0.39,9.25
-3.73,0.34,9.22
-3.67,0.36,9.22
-3.63,0.34,9.18
-3.63,0.27,9.11
-3.58,0.34,9.17
-3.7,0.34,9.22
-3.75,0.35,9.15
-3.71,0.34,9.23
-3.79,0.31,9.26
-3.79,0.33,9.34
-3.72,0.37,9.19
-3.67,0.37,9.13
-3.72,0.4,9.16
-3.72,0.4,9.15
-3.76,0.33,9.11
-3.75,0.43,9.14
-3.75,0.35,9.22
-3.78,0.36,9.21
-3.8,0.34,9.22
-3.73,0.41,9.12
-3.75,0.45,9.1
-3.77,0.44,9.14
-3.79,0.41,9.18
-3.76,0.36,9.28
-3.71,0.3,9.16
-3.69,0.33,9.14
-3.69,0.36,9.14
-3.68,0.36,9.18
-3.74,0.35,9.14
-3.79,0.36,9.15
-3.79,0.34,9.22
-3.81,0.35,9.15
-3.79,0.35,9.21
-3.75,0.4,9.23
-3.79,0.39,9.14
-3.79,0.34,9.18
-3.79,0.37,9.02
-3.76,0.37,8.99
-3.81,0.39,9.13
-3.8,0.37,9.17
-3.76,0.34,9.07
-3.76,0.4,9.1
-3.8,0.36,9.08
-3.85,0.37,9.05
-3.85,0.36,9.07
-3.89,0.33,9.13
-3.88,0.35,9.24
-3.84,0.39,9.17
-3.76,0.44,9.07
-3.76,0.38,9.17
-3.72,0.4,9.0
-3.79,0.34,9.04
-3.91,0.43,9.08
-3.92,0.51,9.03
-3.88,0.34,9.03
-3.86,0.31,9.18
-3.87,0.33,9.22
-3.82,0.37,9.22
-3.86,0.45,9.11
-3.82,0.45,9.03
-3.88,0.4,9.14
-3.87,0.36,9.23
-3.78,0.34,9.18
-3.8,0.38,9.03
-3.87,0.38,9.12
-3.91,0.34,9.05
-3.91,0.34,9.09
-3.95,0.4,9.25
-3.96,0.35,9.13
-3.96,0.45,9.16
-3.96,0.39,9.18
-3.93,0.38,9.11
-3.96,0.4,9.09
-3.98,0.37,9.14
-3.93,0.34,9.22
-3.86,0.38,9.11
-3.89,0.36,9.06
-3.88,0.34,8.92
-3.88,0.35,9.01
-3.96,0.3,9.05
-3.99,0.3,9.17
-3.95,0.29,9.16
-3.9,0.39,9.08
-3.87,0.4,9.1
-3.95,0.37,9.15
-3.93,0.43,9.09
-3.94,0.36,9.05
-3.94,0.39,9.05
-3.97,0.4,9.11
-3.97,0.38,9.07
-3.98,0.36,9.06
-4.02,0.37,9.06
-3.91,0.44,9.02
-3.95,0.48,9.06
-3.96,0.42,8.98
-3.94,0.44,9.0
-3.94,0.42,9.06
-3.98,0.36,9.16
-3.98,0.33,9.15
-3.95,0.31,9.03
-3.96,0.32,9.09
-3.93,0.36,9.06
-3.96,0.38,9.06
-3.97,0.35,9.0
-3.99,0.36,9.06
-3.98,0.39,9.06
-4.01,0.37,9.04
-3.99,0.39,9.05
-4.02,0.42,9.07
-4.05,0.36,9.06
-3.98,0.43,8.99
-3.96,0.38,9.05
-3.98,0.44,9.1
-4.0,0.43,9.15
-3.98,0.37,9.04
-4.0,0.4,9.06
-4.04,0.38,9.01
-4.02,0.34,9.03
-3.98,0.37,9.02
-4.02,0.4,9.0
-3.95,0.37,9.03
-4.07,0.44,9.03
-4.03,0.44,9.11
-4.05,0.36,9.09
-4.01,0.41,8.96
-3.97,0.37,9.1
-4.03,0.42,9.09
-4.02,0.53,8.91
-4.0,0.41,8.96
-3.98,0.35,8.89
-4.01,0.33,9.02
-4.05,0.35,9.07
-4.05,0.37,9.07
-4.04,0.46,9.09
-4.02,0.44,9.18
-4.0,0.39,9.07
-4.05,0.4,9.03
-4.01,0.42,8.99
-4.02,0.39,9.01
-4.13,0.36,9.02
-4.12,0.39,9.02
-4.13,0.34,9.01
-4.13,0.38,9.05
-4.09,0.35,9.04
-4.01,0.41,9.09
-4.05,0.42,9.06
-4.05,0.44,9.14
-4.08,0.39,9.08
-4.08,0.38,9.02
-4.05,0.37,9.03
-4.04,0.39,8.99
-4.03,0.4,8.98
-4.04,0.45,9.01
-4.02,0.39,9.01
-4.09,0.38,9.1
-4.12,0.39,9.07
-4.12,0.38,9.12
-4.11,0.41,9.1
-4.06,0.45,9.02
-4.08,0.47,9.04
-4.06,0.4,9.02
-4.13,0.39,8.97
-4.13,0.42,8.97
-4.09,0.35,8.99
-4.11,0.39,8.97
-4.11,0.36,8.96
-4.12,0.38,9.0
-4.08,0.46,9.07
-4.08,0.43,9.0
-4.13,0.46,9.02
-4.16,0.46,8.96
-4.17,0.4,8.99
-4.11,0.4,9.06
-4.12,0.43,8.96
-4.11,0.39,8.99
-4.12,0.39,9.13
-4.05,0.4,9.04
-4.1,0.38,8.99
