X,Y,Z
-2.83,0.09,9.46
-2.91,-0.13,9.61
-2.92,-0.18,9.84
-2.89,-0.21,9.66
-2.94,-0.06,9.4
-2.98,0.2,9.37
-3.0,0.41,9.39
-3.16,0.4,9.48
-3.0,0.22,9.53
-2.65,0.14,9.45
-2.48,0.23,9.46
-2.61,0.37,9.43
-2.87,0.34,9.35
-3.01,0.29,9.43
-2.84,0.27,9.49
-2.63,0.18,9.71
-2.42,0.009999999,9.72
-2.39,-0.07,9.67
-2.43,0.02,9.66
-2.48,0.11,9.7
-2.52,0.05,9.56
-2.67,0.05,9.49
-2.74,-0.009999999,9.64
-2.89,-0.009999999,9.67
-2.91,0.11,9.75
-2.82,0.009999999,9.76
-2.63,-0.11,9.78
-2.54,-0.13,9.62
-2.47,-0.11,9.64
-2.37,-0.02,9.68
-2.35,0.08,9.64
-2.42,0.09,9.44
-2.57,-0.009999999,9.49
-2.6,-0.05,9.57
-2.63,0.0,9.47
-2.61,0.02,9.71
-2.61,0.03,9.63
-2.62,0.02,9.64
-2.56,-0.06,9.73
-2.56,-0.1,9.72
-2.54,-0.05,9.7
-2.61,0.02,9.61
-2.61,0.02,9.59
-2.67,0.04,9.44
-2.68,-0.009999999,9.71
-2.62,0.009999999,9.66
-2.56,0.07,9.47
-2.54,0.1,9.49
-2.56,0.11,9.62
-2.63,0.11,9.56
-2.77,0.05,9.47
-2.88,0.02,9.59
-2.82,0.08,9.6
-2.71,0.05,9.58
-2.65,0.14,9.52
-2.62,0.2,9.54
-2.65,0.17,9.61
-2.79,0.13,9.51
-2.67,0.12,9.56
-2.62,0.11,9.67
-2.57,0.14,9.61
-2.54,0.27,9.27
-2.58,0.08,9.83
-2.64,0.1,9.8
-2.6,0.05,9.45
-2.56,0.05,9.61
-2.49,0.15,9.64
-2.46,0.11,9.63
-2.63,0.11,9.42
-2.8,0.14,9.46
-2.69,0.12,9.4
-2.56,0.08,9.46
-2.54,0.02,9.65
-2.62,-0.02,9.58
-2.65,0.06,9.61
-2.66,0.09,9.57
-2.65,0.08,9.4
-2.68,0.08,9.35
-2.74,0.1,9.41
-2.81,0.09,9.44
-2.85,0.06,9.58
-2.84,0.1,9.6
-2.85,0.04,9.56
-2.9,-0.009999999,9.46
-2.95,-0.1,9.43
-2.88,-0.009999999,9.46
-2.85,0.009999999,9.43
-2.8,0.13,9.45
-2.86,0.11,9.43
-2.92,0.05,9.41
-2.97,0.0,9.71
-2.85,0.02,9.77
-2.63,0.02,9.6
-2.67,0.07,9.53
-2.58,0.1,9.42
-2.64,0.09,9.25
-2.6,0.12,9.33
-2.66,0.27,9.45
-2.66,0.2,9.58
-2.84,0.1,9.54
-3.09,-0.21,9.54
-3.28,-0.38,9.61
-3.25,-0.17,9.54
-3.25,0.04,9.49
-3.2,0.18,9.5
-3.1,0.24,9.38
-3.1,0.15,9.34
-3.16,0.09,9.47
-3.27,0.11,9.45
-3.49,0.02,9.49
-3.61,-0.1,9.51
-3.45,-0.05,9.38
-3.23,0.0,9.39
-3.04,0.1,9.45
-2.95,0.14,9.49
-2.97,0.15,9.48
-3.08,0.08,9.5
-3.21,0.009999999,9.54
-3.26,-0.05,9.45
-3.16,-0.009999999,9.45
-3.1,-0.02,9.5
-2.99,0.04,9.45
-2.96,0.05,9.39
-3.0,0.09,9.45
-3.08,0.04,9.53
-3.21,0.05,9.49
-3.27,0.04,9.43
-3.22,-0.02,9.5
-3.19,0.02,9.45
-3.21,0.13,9.22
-3.07,0.04,9.48
-3.06,0.1,9.58
-3.13,0.18,9.45
-3.21,0.03,9.35
-3.21,-0.07,9.43
-3.25,-0.06,9.49
-3.14,0.02,9.5
-3.09,0.1,9.49
-3.09,0.11,9.46
-3.07,0.09,9.51
-3.07,0.03,9.52
-3.11,-0.009999999,9.45
-3.14,0.0,9.42
-3.06,-0.009999999,9.48
-3.08,0.13,9.42
-3.05,0.11,9.39
-3.14,0.11,9.44
-3.13,-0.02,9.49
-3.14,-0.009999999,9.48
-3.15,0.009999999,9.47
-3.12,0.03,9.5
-3.07,0.05,9.5
-3.02,0.03,9.52
-3.04,0.0,9.45
-3.03,0.009999999,9.46
-3.02,0.05,9.54
-3.07,0.02,9.42
-3.08,0.009999999,9.4
-3.07,-0.03,9.56
-3.07,0.05,9.47
-3.06,0.07,9.41
-3.1,0.03,9.46
-3.13,0.08,9.45
-3.08,0.009999999,9.48
-3.03,-0.03,9.45
-3.04,0.009999999,9.43
-3.11,0.04,9.46
-3.05,0.1,9.46
-3.08,0.02,9.4
-3.16,-0.04,9.41
-3.19,0.02,9.45
-3.17,0.0,9.41
-3.08,0.03,9.48
-3.06,0.07,9.46
-3.07,0.1,9.42
-3.04,0.07,9.48
-3.05,0.009999999,9.46
-3.03,-0.02,9.45
-3.04,0.0,9.49
-2.98,0.009999999,9.49
-3.04,0.04,9.44
-3.05,0.04,9.5
-3.05,0.06,9.41
-3.01,0.06,9.51
-3.13,0.04,9.4
-3.16,0.04,9.45
-3.15,-0.009999999,9.45
-3.07,-0.02,9.47
-3.06,0.0,9.48
-3.0,0.07,9.4
-3.0,0.11,9.45
-3.04,0.05,9.45
-3.05,0.02,9.44
-3.08,0.009999999,9.46
-3.09,-0.03,9.5
-3.08,0.0,9.49
-3.07,0.06,9.48
-3.01,0.05,9.5
-2.96,0.06,9.53
-3.05,0.09,9.52
-3.07,0.07,9.45
-3.08,-0.009999999,9.43
-3.07,-0.009999999,9.51
-3.05,-0.07,9.56
-3.02,0.02,9.48
-2.97,0.05,9.51
-2.99,0.08,9.52
-2.97,0.1,9.54
-3.03,0.05,9.53
-3.13,-0.03,9.48
-3.07,0.0,9.42
-3.05,0.02,9.43
-2.96,0.04,9.53
-2.93,0.06,9.49
-2.97,0.03,9.47
-3.0,-0.009999999,9.55
-3.05,0.02,9.49
-3.09,0.0,9.52
-3.05,-0.04,9.61
-2.99,0.08,9.38
-2.97,0.08,9.41
-2.97,0.06,9.72
-2.89,0.12,9.5
-2.97,0.0,9.38
-2.93,-0.04,9.45
-2.88,-0.08,9.65
-2.87,0.0,9.63
-2.83,0.0,9.57
-2.89,0.06,9.51
-2.87,0.07,9.55
-2.9,0.03,9.57
-2.95,-0.07,9.58
-2.96,-0.02,9.55
-2.99,-0.03,9.44
-2.96,-0.05,9.49
-2.93,0.03,9.49
-2.92,0.03,9.47
-2.9,0.09,9.56
-2.9,0.0,9.51
-2.92,0.009999999,9.46
-2.94,-0.009999999,9.56
-2.9,0.0,9.54
-2.89,0.009999999,9.55
-2.85,-0.04,9.52
-2.84,0.009999999,9.47
-2.92,0.06,9.62
-2.92,0.0,9.5
-2.96,0.0,9.44
-2.91,-0.02,9.57
-2.91,-0.009999999,9.66
-2.91,0.02,9.54
-2.84,0.02,9.53
-2.84,0.02,9.56
-2.87,0.0,9.43
-2.84,-0.02,9.45
-2.89,-0.05,9.61
-2.88,-0.02,9.56
-2.86,-0.02,9.54
-2.91,0.06,9.47
-2.96,0.009999999,9.54
-3.02,0.04,9.54
-2.96,0.05,9.52
-3.0,0.03,9.51
-2.99,0.02,9.48
-2.93,-0.03,9.55
-2.94,0.04,9.51
-2.9,-0.03,9.52
-2.86,-0.009999999,9.53
-2.87,-0.009999999,9.5
-2.85,0.03,9.59
-2.86,0.06,9.54
-2.89,0.0,9.53
-2.87,-0.009999999,9.55
-2.9,0.05,9.54
-2.93,0.05,9.52
-2.87,0.02,9.48
-2.85,0.0,9.48
-2.91,0.0,9.53
-2.87,0.05,9.54
-2.93,0.06,9.49
-2.95,0.09,9.47
-2.92,0.07,9.51
-2.94,0.1,9.58
-2.93,0.04,9.51
-2.92,0.04,9.48
-2.89,0.0,9.42
-2.91,0.009999999,9.52
-2.9,0.02,9.53
-2.88,0.02,9.59
-2.85,0.07,9.59
-2.85,0.04,9.48
-2.9,0.02,9.48
-2.88,0.03,9.48
